"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","UI_02: Prevent Multiple Saves (Double-click)","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI02_PreventMultipleSaves"
"","1","setupPages","Web Automation Suite","2026-03-09","broken","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","setupPages"
"","1","UI_12: Pagination Boundary States","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI12_PaginationBoundaryStates"
"","1","UI_03: View Detail Modal","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI03_ViewDetailModal"
"","1","UI_10: Filter/Search - No Matches","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI10_FilterSearchNoMatches"
"","1","UI_08: Delete User - Cancel","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI08_DeleteUserCancel"
"","3","UI_11: Pagination Navigation","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI11_PaginationNavigation"
"","2","UI_01: Generate Users & Save to DB","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI01_GenerateUsersAndSaveToDB"
"","1","UI_04: View Detail Modal - Responsive & Missing Image","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI04_ViewDetailModalResponsive"
"","1","UI_05: Edit User - Happy Path","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI05_EditUserHappyPath"
"","2","UI_06: Edit User - Validation Errors","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI06_EditUserValidationErrors"
"","0","UI_09: Filter + Search Combination","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI09_FilterAndSearchCombination"
"","1","UI_07: Delete User - Happy Path","Web Automation Suite","2026-03-09","skipped","2026-03-09","com.company.test.tests.RandomUserUITest","Web Tests","com.company.test.tests.RandomUserUITest","testUI07_DeleteUserHappyPath"
